,asset,price_usd,marketcap_usd,circulation,price_if_BNB,price_if_BTC,price_if_CRO,price_if_ETH,price_if_LTC,price_if_MATIC,price_if_SHIB,price_if_UNI,price_if_WBTC,price_if_XRP
0,BNB,627.9715651645764,104746377981.0,166506031.59742114,629.0845861623569,6492.123642419103,109.42408676853115,3266.375509506909,86.71570009493655,84.69140908417643,145.80370954787688,79.08737847911064,85.70058925253377,280.997841316186
1,BTC,57229.82989944917,1080977744339.0,19009833.361446977,5510.115527547528,56864.13572310867,958.4392510220911,28609.99428316935,759.5378047491189,741.8071567949096,1277.086264114,692.7217766519994,750.6465075564362,2461.2438497166627
2,CRO,0.7212033635940388,18219770449.0,100000031864.67404,1.0474634460391872,10.809773998890751,0.18219764643331385,5.438710504922626,0.14438682499160885,0.1410162594356286,0.24277189333152752,0.13168521343893597,0.14269660475019202,0.4678782053621349
3,ETH,4586.990131490521,543871223795.0,118693455.73542488,882.4949727176721,9107.30703425273,153.50273809208997,4582.150047154436,121.64686764352649,118.80714357523986,204.53694703367125,110.94567479232778,120.22284576335846,394.19052343789707
4,LTC,208.97124857941404,14438687100.0,69155348.09105594,1514.6533257714473,15631.151807893306,263.4614813160982,7864.485376877748,208.78626886511753,203.91236290839817,351.0530673207592,190.41948169592285,206.3421762147928,676.5613468302563
5,MATIC,2.0082977985201773,14101630437.0,10000000000.000002,10.474637798099998,108.09777443389999,1.8219770448999997,54.38712237949999,1.4438687099999998,1.4101630436999997,2.4277197068999996,1.3168525539999998,1.4269665021999998,4.678783544499999
6,SHIB,4.4216595958795454e-05,24277197069.0,999992069057240.0,0.00010474720872511666,0.001080986317579609,1.8219914950102562e-05,0.0005438755372407545,1.4438801613309117e-05,1.4101742277110816e-05,2.4277389611587372e-05,1.3168629979650596e-05,1.426977819479406e-05,4.678820651958775e-05
7,UNI,20.972164947163726,13168525540.0,999999999.999777,104.74637798102336,1080.977744339241,18.219770449004063,543.8712237951213,14.43868710000322,14.101630437003145,24.277197069005414,13.168525540002937,14.269665022003183,46.78783544501044
8,WBTC,56185.1163685218,14269665022.0,256630.6167439701,408160.0991728169,4212193.221736467,70996.09033468178,2119276.455379438,56262.52737569847,54949.13512626056,94599.76902607988,51313.150812156215,55603.90729308913,182315.87500597528
9,XRP,0.9909296247448915,46787835445.0,99968227145.96646,1.047796694724383,10.813213109807714,0.18225561229966392,5.440440821270924,0.14443276141045955,0.14106112351487246,0.24284913078984757,0.13172710886202132,0.14274200342839385,0.46802706000461275
