coin,username,NEG,NEU,POS
ADA,altcoingordon,0.13761467889908258,0.8348623853211009,0.027522935779816515
ADA,cardanians_io,0.2417695473251029,0.6810699588477366,0.07716049382716049
ADA,cardanodan,0.1639871382636656,0.7363344051446945,0.09967845659163987
ADA,cryptoireland1,0.12217659137577003,0.8151950718685832,0.06262833675564682
ADA,cryptorecruitr,0.2127659574468085,0.6914893617021277,0.09574468085106383
ADA,inputoutputhk,0.1525974025974026,0.7467532467532467,0.10064935064935066
ADA,iohk_charles,0.35294117647058826,0.5882352941176471,0.058823529411764705
ADA,ladyofcrypto1,0.2191780821917808,0.7191780821917808,0.06164383561643835
ALGO,0xd0n,0.07272727272727272,0.8545454545454545,0.07272727272727272
ALGO,algofoundation,0.08163265306122448,0.8571428571428571,0.061224489795918366
ALGO,algorand,0.0798611111111111,0.8298611111111112,0.09027777777777778
ALGO,algorithmfin,0.21052631578947367,0.631578947368421,0.15789473684210525
ALGO,arrington,0.09523809523809523,0.8095238095238095,0.09523809523809523
ALGO,cointelegraph,0.15,0.8,0.05
ALGO,droneraceleague,0.06282722513089005,0.8638743455497382,0.07329842931937172
ALGO,kelicallaghan,0.13533834586466165,0.7744360902255639,0.09022556390977443
ALGO,opulousapp,0.08235294117647059,0.8705882352941177,0.047058823529411764
ALGO,yieldlyfinance,0.0707070707070707,0.8383838383838383,0.09090909090909091
AVAX,avalanche_space,0.08157524613220815,0.8874824191279888,0.030942334739803096
AVAX,el33th4xor,0.21935483870967742,0.6451612903225806,0.13548387096774195
AVAX,intocryptoverse,0.04878048780487805,0.8536585365853658,0.0975609756097561
AVAX,kyled116,0.0,1.0,0.0
AVAX,rager,0.16363636363636364,0.6909090909090909,0.14545454545454545
AVAX,trader1sz,0.0,1.0,0.0
AVAX,traderjoe_xyz,0.10204081632653061,0.8673469387755102,0.030612244897959183
AVAX,venturecoinist,0.13636363636363635,0.8181818181818182,0.045454545454545456
AVAX,zhusu,0.1875,0.78125,0.03125
BNB,altcoindailyio,0.0,1.0,0.0
BNB,bnbswap,0.06666666666666667,0.8,0.13333333333333333
BNB,bsc_daily,0.0,0.2857142857142857,0.7142857142857143
BNB,bull_bnb27,0.0,0.0,1.0
BNB,crypt0mummy,0.0,1.0,0.0
BNB,cryptobethany,0.2,0.6,0.2
BNB,hulkordie,0.0,1.0,0.0
BTC,altcoindailyio,0.12300683371298406,0.7630979498861048,0.11389521640091116
BTC,apompliano,0.259375,0.6671875,0.0734375
BTC,bitcoinmagazine,0.18288700195950358,0.7726975832789027,0.04441541476159373
BTC,btc_archive,0.16002795248078266,0.7959468902865129,0.0440251572327044
BTC,crypto_birb,0.11776447105788423,0.8183632734530938,0.06387225548902195
BTC,intocryptoverse,0.13285714285714287,0.8214285714285714,0.045714285714285714
BTC,mmcrypto,0.1270718232044199,0.8259668508287292,0.04696132596685083
BTC,saylor,0.1810810810810811,0.7783783783783784,0.04054054054054054
BTC,thecryptolark,0.22238372093023256,0.7412790697674418,0.036337209302325583
CRO,cryptocom,0.06060606060606061,0.907070707070707,0.03232323232323232
CRO,davidgokhshtein,0.36363636363636365,0.5454545454545454,0.09090909090909091
CRO,gurgavin,0.03571428571428571,0.9642857142857143,0.0
CRO,moneyman,0.0,1.0,0.0
CRO,rektcapital,0.0,0.8888888888888888,0.1111111111111111
CRO,themooncarl,0.11428571428571428,0.8571428571428571,0.02857142857142857
