,datetime,asset,sentiment_positive_total,sentiment_negative_total,dev_activity,dev_activity_change_30d,dev_activity_contributors_count,github_activity_contributors_count,marketcap_usd
40,2021-10-11 00:00:00+00:00,BTC,4359.7864481806755,1604.7391940951347,3.0,-0.9117647058823529,2.0,50.0,1083079138639.0
41,2021-10-12 00:00:00+00:00,BTC,4715.226514875889,1550.607862830162,1.0,-0.984375,1.0,57.0,1055926265435.0
42,2021-10-13 00:00:00+00:00,BTC,3874.102856338024,1091.0410083532333,4.0,-0.9518072289156626,3.0,56.0,1081611750762.0
43,2021-10-14 00:00:00+00:00,BTC,3457.578201651573,1183.4624673128128,2.0,-0.9830508474576272,2.0,34.0,1080160001108.0
44,2021-10-15 00:00:00+00:00,BTC,4829.589793622494,1810.1823116540909,3.0,-0.9798657718120806,3.0,34.0,1160726409230.0
45,2021-10-16 00:00:00+00:00,BTC,3142.011523425579,1071.272806584835,6.0,-0.9310344827586207,3.0,30.0,1147551202767.0
46,2021-10-17 00:00:00+00:00,BTC,3825.670079112053,1138.4955137968063,0.0,-1.0,0.0,44.0,1160077513368.0
47,2021-10-18 00:00:00+00:00,BTC,3044.253701508045,1211.7899713516235,2.0,-0.8947368421052632,1.0,34.0,1169039169043.0
48,2021-10-19 00:00:00+00:00,BTC,4868.268965125084,1516.8694077730179,2.0,-0.962962962962963,2.0,29.0,1211242526570.0
49,2021-10-20 00:00:00+00:00,BTC,6527.045336484909,1755.9693929553032,4.0,-0.968,2.0,44.0,1243927428207.0
50,2021-10-21 00:00:00+00:00,BTC,4624.204460740089,1438.67545825243,6.0,-0.9508196721311475,5.0,24.0,1172684282558.0
51,2021-10-22 00:00:00+00:00,BTC,2803.7223574519157,1185.4528941512108,0.0,-1.0,0.0,8.0,1144131483274.0
52,2021-10-23 00:00:00+00:00,BTC,2727.302905857563,912.3157703280449,1.0,-0.9888888888888889,1.0,4.0,1157410091263.0
53,2021-10-24 00:00:00+00:00,BTC,3504.1129259467125,901.7214080095291,0.0,-1.0,0.0,0.0,1148743134468.0
54,2021-10-25 00:00:00+00:00,BTC,4332.338436365128,916.874423623085,0.0,-1.0,0.0,2.0,1188575312422.0
55,2021-10-26 00:00:00+00:00,BTC,3279.0183498859406,863.7826964259148,0.0,-1.0,0.0,0.0,1138177770430.0
56,2021-10-27 00:00:00+00:00,BTC,5042.813146233559,1391.2937887310982,0.0,-1.0,0.0,0.0,1102757767323.0
57,2021-10-28 00:00:00+00:00,BTC,5258.3735460639,1227.447154700756,0.0,-1.0,0.0,0.0,1143165999365.0
