created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count,coin,clean_tweets,tweet_score
2021-11-25 17:24:52 UTC,"This year I started with $6557, today I hit $1 mil 🥳🥳  I didn't do it with $BTC, $ETH, $SHIB, $ADA. I bought:  $ILV $34 $BLOK $0.00025 $SAND $0.06 $MANA $0.23 $AXS $1.22 $SOL $14.20  I am sharing my next 50x #PlayToEarn gem tonight. Never too late to make it in #crypto.",ladyofcrypto1,"['playtoearn', 'crypto']","['btc', 'eth', 'shib', 'ada', 'ilv', 'blok', 'sand', 'mana', 'axs', 'sol']",2604,25463,2898,ADA,this year i started with  today i hit  mil i didn't do it with     i bought             i am sharing my next 50x  gem tonight never too late to make it in,8969.75
2021-11-02 19:40:23 UTC,"okay, i ate a taco and have made my decision on who will be the next fake ceo of dogecoin.  announcement will be at 4:00 pm pacific (~ 3 hours from now)",billym2k,[],[],1704,22079,1314,DOGE,okay i ate a taco and have made my decision on who will be the next fake ceo of dogecoin announcement will be at 400 pm pacific (~ 3 hours from now),7223.75
2021-09-14 02:55:00 UTC,"More Fan Tokens now listed in the  https://t.co/vCNztATkNg App 🔔   ✅ AC Milan $ACM ✅ FC Barcelona $BAR ✅ Juventus $JUV ✅ AS Roma $ASR ✅ Atletico De Madrid $ATM ✅ OG $OG  You can now buy these Fan Tokens at true cost with USD, EUR, GBP, and 20+ fiat currencies.  https://t.co/dlTZqZWBRv",cryptocom,[],"['acm', 'bar', 'juv', 'asr', 'atm', 'og']",2828,17130,822,CRO,more fan tokens now listed in the app ac milan  fc barcelona  juventus  as roma  atletico de madrid  og  you can now buy these fan tokens at true cost with usd eur gbp and 20+ fiat currencies,7110.5
2021-09-12 21:59:18 UTC,"1/2 Upgrade successful.    Moments ago, we deployed the #Alonzo upgrade at the epoch rollover.    Welcome to the start of a new era for #Cardano $ADA  https://t.co/r6QNvTv4pt",inputoutputhk,"['alonzo', 'cardano']",['ada'],3674,13120,519,ADA,12 upgrade successful moments ago we deployed the  upgrade at the epoch rollover welcome to the start of a new era for,6954.0
2021-09-07 17:32:50 UTC,"LAUNCH CONFIRMED: Today, around 17:26 UTC we successfully submitted an update proposal to the #Cardano mainnet, to trigger a hard fork combinator event on Sunday 💪🙌 #Cardano $ADA 1/6  https://t.co/rEtjrdGiBV",inputoutputhk,"['cardano', 'cardano']",['ada'],3513,10805,512,ADA,launch confirmed today around 1726 utc we successfully submitted an update proposal to the  mainnet to trigger a hard fork combinator event on sunday   16,6214.25
2021-11-02 23:00:03 UTC,"The new fake CEO of dogecoin is…!  One who has embodied dogecoin before it was even in existence.  They are the most qualified for the position. It is unquestionable.  The goodest doge of all, the face of the coin, who has inspired millions to Do Only Good Everyday.   Kabosu.  https://t.co/NxqnuyCVQM",billym2k,[],[],1857,15912,1018,DOGE,the new fake ceo of dogecoin is one who has embodied dogecoin before it was even in existence they are the most qualified for the position it is unquestionable the goodest doge of all the face of the coin who has inspired millions to do only good everyday kabosu,5835.0
2021-10-29 06:41:46 UTC,Retweet if you are a $SHIB Holder!  Let's break the internet! 🐶🔥,army_shiba,[],['shib'],4241,5925,304,SHIB,retweet if you are a  holder let's break the internet,5722.25
2021-11-29 17:00:20 UTC,Retweet if you are happy with $SHIB  listing! 🐶🔥  https://t.co/nVBl91bPWi,army_shiba,[],['shib'],3690,7993,252,SHIB,retweet if you are happy with  listing,5688.25
2021-10-26 19:05:06 UTC,"#Shib has done $10,420,000,000 in volume in the last 24 hours.   More than:   - #BNB  - #Cardano  - #Solana  - #XRP  - #VET  COMBINED",watcherguru,"['shib', 'bnb', 'cardano', 'solana', 'xrp', 'vet']",[],3178,9810,745,SOL,has done  in volume in the last 24 hours more than           combined,5630.5
2021-11-12 10:58:08 UTC,"New futures pairs have arrived on Bitrue, this time it's a #DeFi bonanza! Trade $LRC, $DYDX, $LINA and $CRV / $USDT with custom leverages, and check out the 50 other supported pairs while you're there -  https://t.co/1PPW5A0vMM  https://t.co/5jXlIzDdjU",bitrueofficial,['defi'],"['lrc', 'dydx', 'lina', 'crv', 'usdt']",4394,4781,951,USDT,new futures pairs have arrived on bitrue this time it's a  bonanza trade    and    with custom leverages and check out the 50 other supported pairs while you're there,5589.25
