hashtags,replies_count,created_at,tweet,language,id,username,name,cashtags,retweets_count,likes_count
[],36,2021-09-28 12:22:17 UTC,"""J.P. Morgan is using Ethereum to launch a ‘digital U.S. dollar’"" -Andrew Keys, Consensys Feb 14, 2019 Does JPM Coin get to piggyback off of the Hinman Ethereum Free Pass? *All we ever wanted was a Level Playing Field for XRP.  https://t.co/f2XGeUgTHA  https://t.co/6PQPWGIRCd",en,1442826996866854917,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],135,391
[],39,2021-09-28 10:01:53 UTC,No time for those pesky 20K+ XRP Holders @JohnEDeaton1  https://t.co/JlOzKysVc4,en,1442791664326696961,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],147,651
"['xrp', 'xrpthestandard']",18,2021-09-27 21:07:14 UTC,Rumor: Congress Watching SEC &amp; ETH vs. Ripple / XRP / U.S. Crypto Innovation #xrp #xrpthestandard @ripple   https://t.co/BeVQPq48Sk,en,1442596717166272514,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],116,522
[],11,2021-09-27 18:06:29 UTC,12/12/18 When Congressional Hearings? Ripple's SVP of Business Operations Eric Van Miltenburg @ripple HQ with Valeria Bystrowicz &amp; Sarah Hody of Perkins Coie-on the blockchain team with Lowell Ness who wrote the memo which inspired the Hinman speech. @CGasparino @SenToomey  https://t.co/9b9XdoiDsx,en,1442551229549355010,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],107,281
"['secgate', 'xrp', 'xrpthestandard']",7,2021-09-27 15:54:04 UTC,"#SECGATE , Congressional Hearings , Ripple / XRP / Crypto vs. China #xrp #xrpthestandard @ripple   https://t.co/oZsZbDjO0j",en,1442517908907646976,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],79,291
[],22,2021-09-27 10:45:15 UTC,"All we want is a level playing field for XRP.  No government created monopolies for digital assets.  Congress It's time to step in for your country!...or as Vitalik calls you ""Feeble Americans"" RETWEET @SenToomey @WarrenDavidson @PatrickMcHenry @CGasparino @JohnEDeaton1  https://t.co/Tp3H8AJg6L",en,1442440189331316741,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],192,449
"['secgate', 'xrp', 'xrpthestandard']",18,2021-09-26 16:37:59 UTC,#SECGATE Update:  SEC &amp; Ethereum vs. Ripple / XRP / Crypto Industry #xrp #xrpthestandard @ripple @CGasparino   https://t.co/Ss8D9RIc1b,en,1442166570743001098,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],76,375
[],44,2021-09-25 15:41:59 UTC,Hey @CGasparino you know that feeling you have in your gut that something just isn't right...follow it. @SenToomey @PatrickMcHenry @bgarlinghouse @ripple @JohnEDeaton1  https://t.co/e6Lftnpf4J,en,1441790090418786305,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],342,1124
[],47,2021-09-24 22:18:09 UTC,Just heard @CGasparino say if Republicans win there will be @GaryGensler @ripple @ethereum hearings.  I can promise you the only one that wants any part of that is @Ripple You think Congress is pissed now?,en,1441527399766757376,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],172,908
"['xrp', 'xrpthestandard']",13,2021-09-24 21:41:24 UTC,SECGATE! Ripple CEO On Fox Business Talks XRP / ETH SEC Conflicts #xrp #xrpthestandard @ripple   https://t.co/EeioXJD6lG,en,1441518151267672070,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],128,548
[],43,2021-09-24 14:27:47 UTC,"I repeat. I want the entire crypto industry to do well.  That includes Bitcoin, Ethereum , XRP and any other technology that can compete and win...ON A LEVEL PLAYING FIELD.  That's all we ever wanted.(but weren't given)",en,1441409031386640386,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],147,930
[],43,2021-09-24 14:15:37 UTC,Now that we know from Lowell Ness of Perkins Coie that Jay Clayton went to Andreessen Horowitz and asked for the creation of the memo that eventually inspired the Hinman Speech this conference makes more sense.  This is the missing recording @ripple asked about in court.  https://t.co/uKMbH7mg9J,en,1441405969368600578,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],269,687
[],23,2021-09-24 10:53:39 UTC,"12/7/20 Hey @CGasparino according to the cofounder of @ConsenSys they are ""creating this infrastructure"" so the question remains....Why did Ethereum get a free pass and @ripple get sued?  They may need to come up with something else b/c this shoe doesn't fit.  @JohnEDeaton1  https://t.co/ofMzpWBneT",en,1441355141953769472,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],121,397
[],22,2021-09-24 01:11:18 UTC,From an old @Hodor blog.  This quote is from Lowell Ness the Perkins Coie attorney who drafted the memo which was the inspiration for Hinman’s ETH free pass speech and which Jay Clayton requested.  They knew exactly how XRP being called a security would effect @Ripple  https://t.co/MbwBoFSVr9,en,1441208588425326602,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],145,415
"['xrp', 'xrpthestandard']",20,2021-09-23 21:29:56 UTC,Clayton Exposed! In SEC / Ethereum vs. Ripple / XRP #xrp #xrpthestandard @ripple   https://t.co/9uMNvfVOuw,en,1441152881743130632,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],121,391
[],150,2021-09-23 20:44:47 UTC,"Heard @CGasparino on @FoxBusiness He said tomorrow he's having a surprise crypto guest on and if you care about the  SEC unfair treatment of @ripple you need to watch.  Mentioned it was a major player. Said he's gonna ""light it up"".  Said @cnbc protects the establishment",en,1441141517876224005,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],699,2645
"['xrp', 'xrpthestandard']",17,2021-09-23 10:00:02 UTC,The Plan:  SEC Bitcoin / ETH Free Pass Then Slam Door On Ripple / XRP / Crypto #xrp #xrpthestandard @ripple   https://t.co/ptrRWkkqKQ,en,1440979259535740929,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],98,366
[],29,2021-09-23 02:47:29 UTC,"Blockcon 2018 ICO Rules Of The Road Lowell Ness, Partner at Perkins Coie November 23, 2018 Credit:  Gateway Pundit Did the man who wrote the memo that Bill Hinman used to give his Ethereum Free Pass Speech just say he wants the SEC to act against @ripple ?  https://t.co/buppEvh2Id",en,1440870407163154443,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],111,310
[],35,2021-09-22 17:53:23 UTC,3/12/18- @bgarlinghouse Bloomberg Markets On Swift 6/14/18- Hinman Ethereum Free Pass Speech(Tokens built on Eth get free pass too(JPM Coin?) 8/28/20- Joseph Lubin On Consensys (JP Morgan Quorom) Acquisition / Swift 12/22/20- Jay Clayton Sues Ripple / XRP and walks out the door  https://t.co/vdaTNHbTBN,en,1440735993653383179,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],232,649
"['xrp', 'xrpthestandard']",18,2021-09-22 16:17:04 UTC,ReList XRP Coinbase! &amp; SEC ETH Free Pass vs. Ripple / XRP Purgatory #xrp #xrpthestandard @ripple   https://t.co/y2tDJq924E,en,1440711754560860164,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],154,572
[],30,2021-09-22 15:23:57 UTC,Just some video clips I put together.   Not sure what this means.  Maybe nothing.  Draw your own conclusions. @CGasparino @SenToomey @PatrickMcHenry @JohnEDeaton1 @Ripple @s_alderoty @jchatterleyCNN @ewarren @RepTomEmmer @WarrenDavidson @RepDarrenSoto  https://t.co/0aPlQ2SYh5,en,1440698390552088586,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],85,246
[],33,2021-09-22 00:02:26 UTC,From my research @Ripple shouldn’t be paying lawyers.  Just hire Joseph Lubin to go talk to them.  He’s the SEC Whisperer after all.,en,1440466481859346433,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],120,723
[],16,2021-09-21 15:21:55 UTC,@JohnEDeaton1 @ethereumJoseph @Ripple @jchatterleyCNN @CGasparino Some things go together like apple pie and ice cream @JohnEDeaton1 @CGasparino @SenToomey @PatrickMcHenry  https://t.co/zjg7gh07ew,en,1440335489362395148,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],47,148
[],12,2021-09-21 14:57:30 UTC,Where is @DigitalChamber @PerianneDC in supporting @ripple in this SEC assault on crypto?  I haven't heard a peep out them since this started.,en,1440329344384049157,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],101,376
[],65,2021-09-21 13:22:25 UTC,"All we ever wanted and still want is a Level Playing Field for XRP.  I think some were terrified of that playing field. I want Bitcoin, Ethereum and XRP to succeed...on a level playing field.  Competition brings out the best.  That's what this country is supposed to be about.",en,1440305417100279817,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],202,1053
[],124,2021-09-21 13:04:40 UTC,Watch EVERY SINGLE WORD!(Especially around the 4 Minute mark) @ripple is sued by the SEC four months later.  @jchatterleyCNN has not been willing to touch the @ripple SEC story. @JohnEDeaton1 @CGasparino @Ripple @s_alderoty @bgarlinghouse,en,1440300950615298055,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],255,721
[],39,2021-09-21 11:39:58 UTC,Maybe @HesterPeirce can explain to us how he knows so much.  Was he in the weekly meetings in 2018? I can get my 9 year old to draw a picture if they still don't see it after watching this. Where is Hinman's public calendar? @CGasparino @johndeaton @ripple @s_alderoty  https://t.co/SNE72Cai3s,en,1440279635451809807,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],139,408
[],74,2021-09-20 22:24:46 UTC,"8/19/18-While the entire industry and @ripple were begging for clarity this guy acts like he is an SEC Commissioner.  THIS CANNOT STAND! DISGUSTING!  WHAT WAS HE TOLD BY THE SEC? ""Commissioner Clayton indicated that they wouldn't grandfather anybody"" @CGasparino @JohnEDeaton1 👀  https://t.co/h28nrZDrMt",en,1440079516597043206,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],378,1005
"['xrp', 'xrpthestandard']",16,2021-09-20 21:05:42 UTC,BREAKING! Fox All Over SEC &amp; Ethereum vs. Ripple / XRP / Crypto Industry #xrp #xrpthestandard @ripple   https://t.co/HgfRQVlH8w,en,1440059617803862022,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],139,571
[],11,2021-09-19 22:07:55 UTC,Sounds fair.  A no hitter is in progress  for @Ripple because this is all a lie…and the SEC knows it.,en,1439712886570553346,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],110,619
[],39,2021-09-19 14:47:41 UTC,What we need to decentralize is the media. @CGasparino and @ForbesCrypto are the only outlets covering SEC &amp; Ethereum vs @Ripple &amp; XRP.,en,1439602100498059266,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],232,942
[],3,2021-09-19 11:26:46 UTC,@CGasparino @nypostbiz @nypost @Ripple Take a look at this @CGasparino  https://t.co/QpcILKJ75M,en,1439551536019955715,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],60,237
[],5,2021-09-19 00:11:02 UTC,@CGasparino @Ripple @SEC_Enforcement @SECGov Hey @CGasparino this was perfectly alright according to @GaryGensler but it’s fine to go after @Ripple who didn’t have an ico,en,1439381484507443202,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],79,238
[],21,2021-09-18 20:47:38 UTC,@CGasparino @Ripple @SEC_Enforcement @SECGov Hey @CGasparino this is what Ethereum did at founding while @Ripple tried to work with regulators.  The truth is nasty!,en,1439330293870206980,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],203,650
[],16,2021-09-18 16:19:23 UTC,@CGasparino @Ripple @SEC_Enforcement @SECGov When you realize the decentralization/infrastructure talk was all a lie you will have to ask the next question.  Why did they do this?👀👀👀  https://t.co/hnOMoMo6lm,en,1439262788208271361,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],121,469
[],16,2021-09-18 15:03:24 UTC,"The Brooklyn Project Document was a Google Document that was shared.(Below). I wonder who the Anonymous and Deleted people were....and who in the hell is ""XRP Tech"" ?  https://t.co/HgxTGlylcw",en,1439243666523054082,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],62,275
[],6,2021-09-18 11:35:48 UTC,He sure seems to know a lot about what's going on with @ripple and XRP when the lawsuit drops.,en,1439191421970436100,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],57,220
[],11,2021-09-18 10:57:33 UTC,Remember the Maker Foundation's Board Member who was behind the scenes at the Hinman Ethereum Free Pass Speech and (in my opinion) took a swipe at @ripple  ? Wonder if she or anyone else there knew about the speech ahead of time?  https://t.co/7Zm7j8cD2m,en,1439181796982366210,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],69,209
[],18,2021-09-17 22:39:03 UTC,"Hey @CGasparino I've been following @ripple for over three years.  There has been a VERY coordinated effort : media, industry and legally to focus on Proof of Work(Bitcoin and Ethereum) and to do anything to keep XRP out of the limelight.  It's been intentional.  One Word.  FEAR",en,1438995944402563076,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],114,391
"['xrp', 'xrpthestandard']",10,2021-09-17 22:32:21 UTC,SEC &amp; ETH vs. Ripple / XRP / Coinbase / Congress / Crypto Industry #xrp #xrpthestandard @ripple   https://t.co/weGzDPf2wC,en,1438994261240864771,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],48,184
[],59,2021-09-17 22:22:24 UTC,This is at the heart of why there have been forces trying to slow @ripple down.  The People who had adopted POW fear XRP more than anything in crypto.  Spread it wide!,en,1438991755433680899,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],600,1405
