replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
8,$LTC / USD - #LTC #Litecoin   Fantastic rebound from the $206 region  LTC is not very far from attempting to reclaim the red $225 region as support  Promising price action thus far  #Crypto  https://t.co/vuLRJPuFjW,2021-11-19 15:02:37 UTC,['ltc'],rektcapital,Rekt Capital,1461711515426377748,10,110,"['ltc', 'litecoin', 'crypto']",en
8,"$LTC / USD - #LTC #Litecoin   LTC has indeed retraced to the $206 region  For this to end up as a volatile downside wick below the red $225 demand area however, LTC needs to recover from here and Weekly Close above $225  #Crypto  https://t.co/d6tJFNfTVL",2021-11-19 10:46:14 UTC,['ltc'],rektcapital,Rekt Capital,1461646994917797889,10,78,"['ltc', 'litecoin', 'crypto']",en
14,$LTC / USD - #LTC #Litecoin   The downside wicking below the red $225 Weekly support area may very well be in progress  #Crypto  https://t.co/agA0CKBW1W,2021-11-18 09:35:37 UTC,['ltc'],rektcapital,Rekt Capital,1461266836629164033,21,140,"['ltc', 'litecoin', 'crypto']",en
2,"$LTC / USD - #LTC #Litecoin   Historically, LTC retests of the $225 have not come without volatility  Earlier this year, LTC successfully Weekly Closed above $225 but produced brief downside volatility to as low as $206  #Crypto  https://t.co/gorBqJNAKb",2021-11-17 10:06:00 UTC,['ltc'],rektcapital,Rekt Capital,1460912094572957696,15,120,"['ltc', 'litecoin', 'crypto']",en
11,"$LTC / USD - #LTC #Litecoin   LTC has effectively repeated the same rejection from earlier this year (orange)  Historically, holding $225 as support has proven to set off a bullish turn of events later on  #Crypto  https://t.co/reX6PjME9b",2021-11-16 12:24:14 UTC,['ltc'],rektcapital,Rekt Capital,1460584496332513281,39,233,"['ltc', 'litecoin', 'crypto']",en
7,"$LTC / USD - #LTC #Litecoin   An overextension beyond this resistance was possible &amp; one occurred via a Weekly Close  All in all, LTC failed to turn blue into support  LTC has since retraced into the $225 support area (red)  Now consolidating inside the $225-$270 range  #Crypto  https://t.co/pT9EE4b379",2021-11-16 12:22:31 UTC,['ltc'],rektcapital,Rekt Capital,1460584060875640844,11,74,"['ltc', 'litecoin', 'crypto']",en
14,"Last two times $LTC broke $274 - it rallied to $400+  #LTC is in the process of retesting $274 as support  Get ready for the next LTC move on PrimeXBT  Sign up with the link below &amp; use promocode ""RektCapital"" to get up to 1750 USDT bonus:   https://t.co/zQE9JsBjte  #BTC #Litecoin  https://t.co/XZkihfc238",2021-11-15 13:10:48 UTC,['ltc'],rektcapital,Rekt Capital,1460233827218034693,37,204,"['ltc', 'btc', 'litecoin']",en
7,$LTC / USD - #LTC #Litecoin   Not much longer at all  LTC has broken beyond the blue resistance  Now it is in the process of turning this same area into a new support  Successful retest would enable a rebound higher  #Crypto  https://t.co/Mgc6ECGI7C,2021-11-15 11:25:10 UTC,['ltc'],rektcapital,Rekt Capital,1460207243991859205,12,113,"['ltc', 'litecoin', 'crypto']",en
4,$LTC / USD - #LTC #Litecoin   Litecoin continues to follow the path really well  #Crypto  https://t.co/JCjusQfmY5,2021-11-15 11:00:55 UTC,['ltc'],rektcapital,Rekt Capital,1460201138985263106,9,62,"['ltc', 'litecoin', 'crypto']",en
32,The previous two times that $LTC was able to Weekly close above blue...  #LTC rallied to $420 in 2017 and $414 in 2021  LTC has recently performed its third ever Weekly close above the blue resistance  #Crypto #Litecoin  https://t.co/3yX1R30rk1,2021-11-15 10:57:19 UTC,['ltc'],rektcapital,Rekt Capital,1460200233447604230,62,457,"['ltc', 'crypto', 'litecoin']",en
11,"$LTC / USD - #LTC #Litecoin   Phenomenal Weekly candle close by standards of LTC's history  LTC is in the process of breaking this ~$270 (blue) resistance  Retest is now in progress  Ultimately, LTC needs to turn blue into support to enable a parabolic run into the $300s  #Crypto  https://t.co/wRVBb0nb1t",2021-11-15 10:52:39 UTC,['ltc'],rektcapital,Rekt Capital,1460199060867104769,32,185,"['ltc', 'litecoin', 'crypto']",en
40,$LTC / USD - #LTC #Litecoin   The orange circles show that the last time LTC Weekly Closed below $274 (blue)...  It rejected to $225 (red)  Really important LTC Weekly Closes above $274 if it is to trend higher next week and potentially avoid a rejection here  #Crypto  https://t.co/g6Zn3pe4sh,2021-11-14 20:29:36 UTC,['ltc'],rektcapital,Rekt Capital,1459981866950397952,43,337,"['ltc', 'litecoin', 'crypto']",en
6,"$LTC / USD - #LTC #Litecoin   Still wrestling with this resistance (blue)  Ideally, LTC needs to Weekly Close above $274 to confirm further upside  Ultimately, LTC needs to turn blue into support to enable a parabolic run into the $300s  #Crypto  https://t.co/WhimX3eap0",2021-11-14 20:26:37 UTC,['ltc'],rektcapital,Rekt Capital,1459981114676756486,19,122,"['ltc', 'litecoin', 'crypto']",en
