id,name,replies_count,created_at,retweets_count,tweet,hashtags,language,cashtags,username,likes_count
1463998444675211265,Algorand,4,2021-11-25 22:30:03 UTC,45,"On Dec 2nd, @500GlobalVC will be hosting #PreMoney2021 in Miami! Featuring established leaders in private markets &amp; beyond, conversations will focus on optimizing investment, value creation &amp; more.    Request an invite:  https://t.co/aCx60CZhc4 Get 10% off:  https://t.co/Zx2STkZSgz  https://t.co/SdcOQ72mdc",['premoney2021'],en,[],algorand,234
1463953144195473413,Algorand,1,2021-11-25 19:30:03 UTC,46,ICYMI: @C3protocol is leveraging #Algorand technology to bring cross-chain collateral management to #DeFi. Read more via @CoinDesk 👇  https://t.co/7yAMwjxqc9,"['algorand', 'defi']",en,[],algorand,248
1463903064134492161,Algorand,35,2021-11-25 16:11:03 UTC,104,4 days to go. Who are you most excited to hear from at @DecipherEvent?   See the all-star speaker lineup 👉  https://t.co/66Jjt14bVG #Decipher  https://t.co/X8QzzC14mR,['decipher'],en,[],algorand,495
1463235210779189249,Algorand,8,2021-11-23 19:57:14 UTC,49,Starting in a couple minutes! @sendwyre takes over Algorand's #developer office hour to walk through how to integrate their APIs into the #Algorand protocol for an all-in-one payment solution 👉  https://t.co/yozf4RWZfl?  https://t.co/CElICYITPS,"['developer', 'algorand']",en,[],algorand,272
1463173900507000838,Algorand,3,2021-11-23 15:53:36 UTC,32,TODAY at 3pm EST! @sendwyre takes over developer office hours to talk about their newest integration with Algorand. Sign up now 👉  https://t.co/b45SG4ELBH,[],en,[],algorand,203
1463148150873542670,Algorand,9,2021-11-23 14:11:17 UTC,54,"Happening now: Tune in to @FutureofFinanc3’s webinar on Central Bank Digital Currency! @AlgoFoundation’s Co-Pierre Georg is joined by key leaders from @OECD, @bankofengland, @inside_r3 and @BittGlobal 👉  https://t.co/NKEn5sQjPA #CBDC  https://t.co/Un2RgkYXa3",['cbdc'],en,[],algorand,272
1462866778040590336,Algorand,4,2021-11-22 19:33:13 UTC,51,Now LIVE! Quickly &amp; easily deploy @sendwyre's robust &amp; simple to integrate APIs 🙌,[],en,[],algorand,283
1462806169659981829,Algorand,390,2021-11-22 15:32:23 UTC,475,"With 1 week to go until #Decipher, it’s giveaway time!  1⃣ Retweet this 2⃣ Follow @DecipherEvent 3⃣ Reply to this tweet with what you’re looking forward to the most 4⃣ Fill out this form:  https://t.co/YbA5Ck4Fvz  After 24 hours, 3 winners will be selected and sent a gift box 🎉  https://t.co/5xBNqWqGqD",['decipher'],en,[],algorand,715
1462528364762353666,Algorand,8,2021-11-21 21:08:29 UTC,72,The LoveChain has kicked off their first #NFT competition! Find out how you can participate 👇 #NFTLove,"['nft', 'nftlove']",en,[],algorand,284
1462084580362625026,Algorand,11,2021-11-20 15:45:02 UTC,51,"ICYMI: Limited tickets for the Hollywood film premiere of “The Elevator” including a Meet and Greet with the cast were sold as #NFTs on @Abris_io, an NFT marketplace built on Algorand. Read more 👉  https://t.co/M2mTkxpjJU  https://t.co/E710h36gdi",['nfts'],en,[],algorand,273
1461810272302157829,Algorand,16,2021-11-19 21:35:02 UTC,71,ICYMI: @ClimateTrade is teaming up with @RealMontyAllen to release a Certified Carbon-Negative #NFT Series on the #Algorand blockchain! Check out the initial series before it drops on @RandGallery tomorrow morning 👉  https://t.co/GtnM4ow8H4  https://t.co/R1FZ95Whsf,"['nft', 'algorand']",en,[],algorand,236
1461793543148691459,Algorand,6,2021-11-19 20:28:34 UTC,60,"Game developers: this new solution walks through how to use Algo Builder, #PyTeal and @reactjs to build player authentication into your next #gaming dApp. Check it out 👉  https://t.co/tbJf7420oF","['pyteal', 'gaming']",en,[],algorand,236
1461726056075902979,Algorand,14,2021-11-19 16:00:23 UTC,111,Only 10 days until @DecipherEvent 🚀,[],en,[],algorand,470
1461696041317810179,Algorand,8,2021-11-19 14:01:07 UTC,80,.@epioneergo is building the world’s first NetZero climate wallet powered by #Algorand 🍃🌱,['algorand'],en,[],algorand,381
1461426063192440832,Algorand,3,2021-11-18 20:08:20 UTC,9,"5/ Lastly, big thank you to @al_goanna, @AlgoKittens @WaferFinance and Ink Hunter for making this all happen! Explore the entire collection 👉  https://t.co/4Jyjybsx9l   Learn more here 👉  https://t.co/pNIvApQvYx",[],en,[],algorand,77
1461426060424142850,Algorand,7,2021-11-18 20:08:19 UTC,16,4/ @DecipherEvent Virtual VIPs  — we haven’t forgotten about you! Stay tuned for a forthcoming email on how to claim your Algo Gator #NFT for #Decipher 👀  https://t.co/IQZ7fQq2eg,"['nft', 'decipher']",en,[],algorand,120
1461426055890104320,Algorand,1,2021-11-18 20:08:18 UTC,6,"3/ With Algorand’s commitment to #sustainable blockchain, the Algo Gators will also support @carbonneutralAU’s plant-a-tree Conservation Program in Australia 🌳  10 trees will be planted for each #AlgoGator — that's 8,880 trees in total!  https://t.co/J7TNtKWNYt","['sustainable', 'algogator']",en,[],algorand,50
1461426051393855488,Algorand,1,2021-11-18 20:08:17 UTC,4,2/ Each #AlgoGator is a randomly generated 1/1 #NFT.  No two Algo Gators are the same — each has a unique set of traits (some rarer than others) which make them each special 🐊  https://t.co/OrmfrI9HxP,"['algogator', 'nft']",en,[],algorand,44
1461426046390050816,Algorand,15,2021-11-18 20:08:16 UTC,57,"1/ You may have noticed that #AlgoGator #NFTs have officially joined @DecipherEvent! Created in collaboration with @al_goanna, the first 444 Algo Gators will be used as tickets for those attending LIVE in Miami 🌴  https://t.co/0ha3sBK6OI","['algogator', 'nfts']",en,[],algorand,317
1461381019240583170,Algorand,38,2021-11-18 17:09:20 UTC,237,Proud to have @ClimateTrade as our partner! #greencrypto 🍃,['greencrypto'],en,[],algorand,561
