replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
4,READY TO EXPLODE 💥 Ripple XRP Price Chart 📈 vs Bitcoin Ethereum Price Ch...  https://t.co/mAtWMrWQAM via @YouTube,2021-11-23 18:33:26 UTC,[],kevin_cage_,Kevin Cage,1463214120635879424,16,72,[],en
13,#Bitcoin $BTC  $XRP   Weekly Price Charts  $XRP sitting right there on the 4.236 Today  https://t.co/Wo9cAZaAL6,2021-11-23 16:55:46 UTC,"['btc', 'xrp', 'xrp']",kevin_cage_,Kevin Cage,1463189544732446733,55,342,['bitcoin'],en
43,Almost 100 Days In This Zone for $XRP... 🚀  https://t.co/1CuEo6e7xb,2021-11-17 21:52:24 UTC,['xrp'],kevin_cage_,Kevin Cage,1461089867123904514,78,742,[],en
3,THE SECRET 🔑 OF #Ripple $XRP Price Chart &amp; Crypto Market Bull Run ✔️ $ALGO $XLM $DAG $HBAR $CSPR WATCH ALL   https://t.co/kI3xEQ8LJu via @YouTube,2021-11-17 20:40:52 UTC,"['xrp', 'algo', 'xlm', 'dag', 'hbar', 'cspr']",kevin_cage_,Kevin Cage,1461071863761842186,9,70,['ripple'],en
2,THE SECRET 🔑 OF Ripple XRP Price Chart &amp; Crypto Market Bull Run ✔️ ALGO ...  https://t.co/kI3xEQ8LJu via @YouTube,2021-11-17 20:40:12 UTC,[],kevin_cage_,Kevin Cage,1461071695784161287,7,39,[],en
11,$XRP is one of my savings accounts   My favorite asset  I've already recouped my initial investment so I just let this bag RIIIIIDE  Dumping profits into $XRP as long as it's below retracements,2021-11-17 19:07:07 UTC,"['xrp', 'xrp']",kevin_cage_,Kevin Cage,1461048272894763015,37,341,[],en
26,Awesome  Please recall what CEO of MoneyGram said on TV  $XLM for front end  $XRP for back end,2021-11-17 18:11:30 UTC,"['xlm', 'xrp']",kevin_cage_,Kevin Cage,1461034275994836993,141,699,[],en
13,#Ripple outlines possible regulatory framework for #crypto industry in US  #CryptoNews #XRPCommunity #XRP $XRP    https://t.co/JzcnjLnrlm,2021-11-16 22:56:31 UTC,['xrp'],kevin_cage_,Kevin Cage,1460743613839773698,88,402,"['ripple', 'crypto', 'cryptonews', 'xrpcommunity', 'xrp']",en
1,MUST SEE 💰 Ripple XRP Price 📈 THE END OF AN ERA &amp; BEGINNING OF A NEW WAT...  https://t.co/AJEtVGBtfk via @YouTube,2021-11-15 21:52:06 UTC,[],kevin_cage_,Kevin Cage,1460365015739940867,5,43,[],en
1,MUST SEE 💰 #Ripple $XRP Price 📈 THE END OF AN ERA &amp; BEGINNING OF A NEW WAT...  https://t.co/AJEtVGBtfk via @YouTube,2021-11-15 21:52:03 UTC,['xrp'],kevin_cage_,Kevin Cage,1460365002272038916,12,94,['ripple'],en
32,I wonder what happens to $XRP when a handful of exchanges start re-listing it all at once   + a couple hundred million dollars in buy pressure from the Bitwise Top 10 ETF   👇  ⏳💥  #xrp #xrpcommmunity #XRPArmy,2021-11-15 20:07:39 UTC,['xrp'],kevin_cage_,Kevin Cage,1460338729323794435,79,619,"['xrp', 'xrpcommmunity', 'xrparmy']",en
