replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
2,Just posted a photo @ XRP  https://t.co/wuXpHHcql3,2021-10-21 15:29:24 UTC,[],kevin_cage_,Kevin Cage,1451209008363282438,1,14,[],en
18,Things to remember about $CSPR   https://t.co/3WMgjfCSVp   https://t.co/a14WsbRVC3  $XRP $ALGO #Bitcoin $BTC $ETH $ZEC $XLM $STX $HBAR   #BitGo is HUGE  https://t.co/N1LwdE1eSh,2021-10-20 21:26:04 UTC,"['cspr', 'xrp', 'algo', 'btc', 'eth', 'zec', 'xlm', 'stx', 'hbar']",kevin_cage_,Kevin Cage,1450936380864045059,52,185,"['bitcoin', 'bitgo']",en
30,#Ripple Has Scored A Partnership With Al Ansari Exchange  #CryptoNews #XRPCommunity $XRP #XRP   https://t.co/ARVt6qivYz,2021-10-20 17:54:30 UTC,['xrp'],kevin_cage_,Kevin Cage,1450883138104827906,321,1449,"['ripple', 'cryptonews', 'xrpcommunity', 'xrp']",en
1,HEDERA HASHGRAPH HBAR ✔️ RIPPLE XRP NEWS Need To Know Information Before...  https://t.co/jR62BGe20x via @YouTube,2021-10-19 17:27:36 UTC,[],kevin_cage_,Kevin Cage,1450513978527002624,3,52,[],en
1,#HEDERA #HASHGRAPH $HBAR ✔️ #RIPPLE $XRP NEWS Need To Know Information Before...  https://t.co/jR62BGe20x via @YouTube,2021-10-19 17:26:52 UTC,"['hbar', 'xrp']",kevin_cage_,Kevin Cage,1450513794401247232,9,43,"['hedera', 'hashgraph', 'ripple']",en
0,@xrphodler123 @RaoulGMI @XRP_OWL Rofl,2021-10-19 14:03:01 UTC,[],kevin_cage_,Kevin Cage,1450462492694548488,0,5,[],en
3,@SirRobArtII1 Your Starbucks posts make me bullish on $xrp &amp; $xlm 🚀🌕,2021-10-19 13:58:13 UTC,"['xrp', 'xlm']",kevin_cage_,Kevin Cage,1450461284646936584,3,91,[],en
3,@RaoulGMI @XRP_OWL found that $ETH &amp; $XRP were looked at for CBDC interoperability over a year ago with the Central Bank of France 🥂,2021-10-19 13:56:42 UTC,"['eth', 'xrp']",kevin_cage_,Kevin Cage,1450460904810815489,15,177,[],en
4,Future of Crypto🌊  Ripple XRP News “10% of GDP to be Stored on Blockchai...  https://t.co/V2JbwBfHbk via @YouTube   $XRP #XRPCommunity $BTC #Bitcoin,2021-10-18 20:58:57 UTC,"['xrp', 'btc']",kevin_cage_,Kevin Cage,1450204779020529673,6,43,"['xrpcommunity', 'bitcoin']",en
1,Future of Crypto🌊  Ripple XRP News “10% of GDP to be Stored on Blockchai...  https://t.co/V2JbwBfHbk via @YouTube,2021-10-18 17:35:24 UTC,[],kevin_cage_,Kevin Cage,1450153555768315907,8,47,[],en
