likes_count,name,created_at,retweets_count,id,replies_count,hashtags,language,cashtags,tweet,username
487,THEWIZARD ( dont dm u ),2021-09-26 14:13:11 UTC,49,1442130130902654977,58,[],en,"['fet', 'luna', 'ftt', 'ela']","Free alpha  I know every alt i enter has a risk to go down in value. Simple risk management imo.  So for myself i have ""tiers""  Tier 1 projects $FET $LUNA $FTT ( JUST EXAMPLE) Max % of my port is 8/9%  Tier 2 projects $1INCH $ELA ( JUST EXAMPLE) max % of my port 6/7%  1/2",cryptowizardd
910,THEWIZARD ( dont dm u ),2021-09-24 23:06:15 UTC,64,1441539508315439115,115,[],en,"['anrx', 'nftb', 'celr', 'idex', 'fet', 'luna', 'floki', 'mlt', 'light', 'hod', 'xcad', 'ioi']",Last 2.5 months i gave u  $ANRX done x 10 $NFTB done like x 7 $Celr done 400% $idex done x 20 $fet went from 0.17 to $1.2 $LUNA since 0.15 $floki done x 20 $mlt x1 and Just started  $LIGHT done x 5 $Hod ongoing  $xcad x 3 $ioi x 3  Say no more  https://t.co/lLhQi3XD9B,cryptowizardd
57,THEWIZARD ( dont dm u ),2021-09-24 23:02:23 UTC,2,1441538535224483840,3,[],en,"['axs', 'luna']",@cryptocevo Thanks champ love u. And thnx for scamming your followers into retirement with $axs and $luna   Early ✅🚀,cryptowizardd
163,THEWIZARD ( dont dm u ),2021-09-22 22:39:11 UTC,3,1440807917276385284,14,[],en,['luna'],Moonboys like u would never ever heard of $luna if i wasnt around,cryptowizardd
353,THEWIZARD ( dont dm u ),2021-09-20 21:46:34 UTC,26,1440069901243191298,12,['goodnight'],en,['luna'],Just had a phone call with sec   They want your cheap $Luna so they can sell it to ya later above 3 digits  #goodnight  https://t.co/O5wokEpcJu,cryptowizardd
391,THEWIZARD ( dont dm u ),2021-09-19 19:57:54 UTC,30,1439680167794860040,28,[],en,"['avax', 'luna']",$AVAX NEW ATH   $LUNA to follow soonish  https://t.co/K6OgRywPTb,cryptowizardd
101,THEWIZARD ( dont dm u ),2021-09-18 15:54:50 UTC,1,1439256609881038848,3,[],en,['luna'],@NicolasFlamelX Bro 90% of ct would never heard of $luna if its not because of u. Ignore those cheap plebs.,cryptowizardd
711,THEWIZARD ( dont dm u ),2021-09-14 16:21:51 UTC,86,1437813858530377739,44,[],en,"['luna', 'ada']",$190 $luna sounds cool.  We Will flip $ada anyway. Matter of time   Screenshot it.  https://t.co/hvLYkPYTlj,cryptowizardd
60,THEWIZARD ( dont dm u ),2021-09-14 15:37:46 UTC,0,1437802762012708867,1,[],en,['ust'],@jonathan6620 @Fetch_ai @terra_money Sir $UST,cryptowizardd
367,THEWIZARD ( dont dm u ),2021-09-13 21:10:00 UTC,33,1437523985684647941,43,[],en,"['anc', 'luna', 'floki', 'sxp', 'fet']",Lance Armstrong 2.0  $ANC $LUNA $FLOKI $SXP $FET  https://t.co/zs97X8f4s8,cryptowizardd
1126,THEWIZARD ( dont dm u ),2021-09-12 23:41:32 UTC,48,1437199730673586179,81,[],en,"['anrx', 'nftb', 'idex', 'fet', 'luna', 'floki', 'xcad', 'ioi']",Last 2 months i gave u  $ANRX pulled x 15 $NFTB PULLED X10 $IDEX pulled x 30 $fet New ath $luna New ath $floki pulled x20 $xcad pulled x 5 $ioi pulled x3  Dont bang my head.  Goodnight 😘,cryptowizardd
1091,THEWIZARD ( dont dm u ),2021-09-12 20:44:28 UTC,42,1437155169049927682,64,['alhamdulillah'],en,"['fet', 'luna']",Sometimes i look at my name and realize i have 2 best performing alts in my name for already a 1 year  $FET $LUNA  THANK GOD   #Alhamdulillah   💗🤲,cryptowizardd
955,THEWIZARD ( dont dm u ),2021-09-11 18:09:47 UTC,115,1436753855950336003,60,[],en,['luna'],HAHAHAHAHA BEST GIF EVER. LETS GET THIS VIRAL  $LUNA  https://t.co/tlRmHnCmUl,cryptowizardd
214,THEWIZARD ( dont dm u ),2021-09-11 12:41:18 UTC,8,1436671189095698434,32,[],en,['luna'],Look at all those moonboys captured in 1 picture.  They though $luna would go to $1 haha.  Buy my baggs now kids  https://t.co/Ix2nJVGv5c,cryptowizardd
516,THEWIZARD ( dont dm u ),2021-09-11 12:12:42 UTC,28,1436663992857018374,71,[],en,"['luna', 'vgx', 'vra', 'chz', 'ftt', 'anc', 'mir', 'sxp', 'fet']",If crypto was a game i would have finished it this week. Nothing left anymore  Portfolio roi is beyond godlike. Calls done x 200 x 400   Its done   $LUNA $VGX $VRA $CHZ $FTT $ANC $MIR $SXP $FET  https://t.co/amnOb2bF6o,cryptowizardd
244,THEWIZARD ( dont dm u ),2021-09-11 00:57:06 UTC,27,1436493971828707360,18,[],en,"['fet', 'fet', 'luna', 'anc']",Perfect place to rebuy some $FET  Orders all the way down to $0.68 maybe to catch a wick  This was not the top  $FET $LUNA $ANC  https://t.co/g7vua3Cw1W,cryptowizardd
219,THEWIZARD ( dont dm u ),2021-09-11 00:14:05 UTC,18,1436483145784823821,18,[],en,['luna'],Never forget this tweet   $LUNA,cryptowizardd
512,THEWIZARD ( dont dm u ),2021-09-10 23:42:28 UTC,41,1436475189622099973,31,[],en,['luna'],1 pic to rule them all  $luna ⏳🌖  https://t.co/26cb57DE3O,cryptowizardd
428,THEWIZARD ( dont dm u ),2021-09-10 15:52:56 UTC,19,1436357028117614592,62,[],en,['luna'],When u bought $luna below $0.20  Life is good,cryptowizardd
709,THEWIZARD ( dont dm u ),2021-09-10 15:41:13 UTC,65,1436354078079062026,40,[],en,['luna'],Your army leader   ARE U ENTERTAINED  $LUNA  $40  https://t.co/UPULjAdIMP,cryptowizardd
