hashtags,username,language,created_at,tweet,retweets_count,cashtags,id,replies_count,name,likes_count
"['texas', 'nbc', 'nascar', 'paywithlitecoin', 'litecoin10', 'litecoin', 'litecoinfam', 'crypto', 'xfinity']",litecoin,en,2021-10-16 15:47:10 UTC,"Litecoin to XFINITY!! Today @Landoncassill will his pay in $LTC for the 'Andy's Frozen Custard 335' at #Texas Motor Speedway! LIVE on #NBC Sat, Oct 16th 3p ET #NASCAR #PaywithLitecoin #Litecoin10 #Litecoin #LitecoinFam #crypto #Xfinity  https://t.co/uvlyU4qcQU",51,['ltc'],1449401540838498304,39,Litecoin,325
"['litecoin', 'nft']",litecoin,en,2021-10-15 22:58:05 UTC,'Girl with Determination' by @kamakiriko_  ⚡OFFICIAL ARTIST⚡  #Litecoin 10th Anniversary #NFT Collection,28,[],1449147595536801793,31,Litecoin,193
"['nft', 'litecoinfam', 'nftartist', 'nftdrop']",litecoin,en,2021-10-15 16:53:02 UTC,"In 10 mins we will join the #NFT Artists for“⚡️Litecoin’s 10th Anniversary ⚡️NFT Collection” on Clubhouse with @SpectacularWay @hellbrush @AnagbadoChuma @PerryBerry1325 - Today, Oct 15 at 10:00 PDT in @Clubhouse. Join us!  https://t.co/gc3Zxrxdc0 #LitecoinFAM #NFTartist #NFTdrop",46,[],1449055728942018562,55,Litecoin,248
"['litecoin', 'nft']",litecoin,en,2021-10-15 05:13:57 UTC,'Litecoin and Flowery Harmony' by @noriko_kinouchi  ⚡OFFICIAL ARTIST⚡  #Litecoin 10th Anniversary #NFT Collection,23,[],1448879798755872768,24,Litecoin,151
"['russia', 'litecoin', 'nft']",litecoin,en,2021-10-15 03:24:16 UTC,'With Love from #Russia' by @hellbrush  ⚡OFFICIAL ARTIST⚡  #Litecoin 10th Anniversary #NFT Collection,21,[],1448852196058042371,21,Litecoin,157
"['litecoin', 'nft']",litecoin,en,2021-10-14 22:14:33 UTC,'Litecoin's Journey' by @SpectacularWay  ⚡OFFICIAL ARTIST⚡  #Litecoin 10th Anniversary #NFT Collection,20,[],1448774253961048072,22,Litecoin,159
[],litecoin,en,2021-10-14 20:40:22 UTC,'Litecoin Interstellar' by @Index_3D  ⚡OFFICIAL ARTIST⚡  Litecoin's 10th Anniversary NFT Collection,28,[],1448750551349424128,26,Litecoin,179
[],litecoin,en,2021-10-14 18:04:29 UTC,Starting now on  https://t.co/2DVtn2rBzj and Twitch:  https://t.co/GJ6YmP9dnu,18,[],1448711320526749696,13,Litecoin,107
"['blockbank', 'litecoin', 'litecoin10']",litecoin,en,2021-10-14 15:28:21 UTC,"Join the @BLOCKBANKapp founders, @SatoshiLite &amp; @DavidBurkett38  Live TODAY on  https://t.co/dv29PboTlR 18:00 UTC - 11am PST (Oct 14th)  $BBANK $LTC #Blockbank #Litecoin #Litecoin10  https://t.co/ttSvcAV7Ub",113,"['bbank', 'ltc']",1448672027691282437,44,Litecoin,342
[],litecoin,en,2021-10-13 23:51:11 UTC,'Evolution' by @AnagbadoChuma  ⚡OFFICIAL ARTIST⚡  Litecoin's 10th Anniversary NFT Collection,15,[],1448436183529185282,18,Litecoin,102
[],litecoin,en,2021-10-13 23:29:00 UTC,'The Foundation' by @PerryBerry1325   ⚡OFFICIAL ARTIST⚡  Litecoin's 10th Anniversary NFT Collection,19,[],1448430601027997696,18,Litecoin,137
[],litecoin,en,2021-10-13 21:39:21 UTC,We're on Twitter Spaces and you're invited to the party!!! LIVE NOW!!   https://t.co/U9hXEZZrJ7  https://t.co/ukEewu9pDz,91,[],1448403005074640897,47,Litecoin,725
"['litecoin10', 'litecoin', 'nftdrops', 'nfts', 'nftcollectibles']",litecoin,en,2021-10-13 19:05:29 UTC,⚡OFFICIAL⚡ 10 global artists | 10 art pieces | 10 day auction | 10 years of Litecoin!   Litecoin's 10th Anniversary NFT Collection:  https://t.co/07vwAF8B0G 🎁🎂🖼️🖌️ #Litecoin10 #Litecoin $LTC #NFTdrops #NFTs #NFTcollectibles  https://t.co/nukg3GEevy,109,['ltc'],1448364283662794752,52,Litecoin,508
"['litecoin', '10yearsltc', 'litecoin10', 'litecoinfam']",litecoin,en,2021-10-13 16:05:19 UTC,🎉10 Years of Litecoin!!🎉 thanks to @whisdi_com for this creation!   Here's to the next 10!   Happy 10th Birthday #Litecoin  #10yearsLTC $LTC #Litecoin10 #LitecoinFam  https://t.co/9VCkbyuT4E,172,['ltc'],1448318944817790988,73,Litecoin,712
['wednesdaymotivation'],litecoin,en,2021-10-13 05:15:49 UTC,🎁🎈A must read!🎈🎁  #WednesdayMotivation,56,[],1448155493239713795,22,Litecoin,390
"['litecoin10', 'litecoin', 'litecoinfam']",litecoin,en,2021-10-13 03:10:15 UTC,Begin full engine test sequence prelim for tomorrows take off.. Initiate test.. Who ready?  Check #Litecoin10 Check #Litecoin Check #LitecoinFAM  https://t.co/TAxWdysqJL,141,[],1448123893127032840,96,Litecoin,899
"['northcarolina', 'charlotte', 'nascar', 'paywithlitecoin', 'litecoin10', 'litecoin', 'litecoinfam']",litecoin,en,2021-10-09 14:29:47 UTC,"Litecoin to XFINITY!! Morning @landoncassill time to earn your $LTC for the 'Drive For The Cure 250' Presented By Blue Cross Blue Shield of #NorthCarolina #Charlotte Motor Speedway! LIVE on NBCSN Sat, Oct 9th 3p ET #NASCAR #PaywithLitecoin #Litecoin10 #Litecoin #LitecoinFam  https://t.co/c1RgT0W7rQ",54,['ltc'],1446845350531133444,43,Litecoin,366
"['litecoin', 'crypto', 'paywithlitecoin', 'litecoin10']",litecoin,en,2021-10-05 20:40:29 UTC,Major fashion and retail brand @PacSun to accept #Litecoin and other #Crypto via new deal with @BitPay   #PaywithLitecoin #litecoin10  https://t.co/IAt8KsPcan  https://t.co/9AsALzGwty,171,[],1445489087771648011,85,Litecoin,719
"['litecoin', 'litecoin10', 'instagramdown', 'whatsappdown', 'facebookdown']",litecoin,en,2021-10-04 18:12:01 UTC,"10 years, Litecoin has never been down. I don't know how to put this, but..  #Litecoin #Litecoin10 #instagramdown #whatsappdown #facebookdown WhatsApp Instagram Facebook FB and IG  https://t.co/zMzxWzzCeK",133,[],1445089338333614083,88,Litecoin,822
"['mweb', 'litecoin', 'sundayvibes', 'litecoinfam', 'sundayfunday']",litecoin,en,2021-10-03 16:44:25 UTC,🚨 #MWEB Dev Update 🚨  #Litecoin #SundayVibes #LitecoinFAM #SundayFunday,73,[],1444704906942713857,46,Litecoin,421
"['talladega', 'nascar', 'paywithlitecoin', 'litecoin10', 'litecoin', 'litecoinfam']",litecoin,en,2021-10-02 15:05:57 UTC,"Talladega Time! Litecoin to XFINITY!! Today @landoncassill will earn his pay in $LTC for the 'Sparks 300 at #Talladega Speedway!! LIVE on NBCSN Saturday, Oct 2nd 4:30p ET #NASCAR #PaywithLitecoin #Litecoin10 #Litecoin #LitecoinFAM  https://t.co/vMO4V2o8iJ",82,['ltc'],1444317737644294144,46,Litecoin,443
"['litecoin', 'litecoinfam', 'crypto', 'paywithlitecoin']",litecoin,en,2021-09-29 15:32:36 UTC,"Global e-commerce giant MarketAmerica owner of  https://t.co/m8ogLBiSTO adds BitPay integration giving consumers access to millions of products at 1000s of merchants, all now accepting #LITECOIN $LTC #LitecoinFAM #crypto #PayWithLitecoin  https://t.co/JzJh3CjVo2  https://t.co/TNKmjUf5Iz",194,['ltc'],1443237282677334020,62,Litecoin,695
"['paywithlitecoin', 'litecoin', 'crypto']",litecoin,en,2021-09-29 05:21:58 UTC,BitPay partners with Verifone bringing Litecoin payments to 46 million consumers via their point of sale systems! #PaywithLitecoin #Litecoin $LTC #Crypto  https://t.co/xi4InXlc4X,258,['ltc'],1443083609527619585,99,Litecoin,1057
"['cryoto', 'litecoin']",litecoin,en,2021-09-28 14:15:56 UTC,@ForbesCrypto @MartinRivers First day on the #cryoto desk? #Litecoin,13,[],1442855600170225666,15,Litecoin,191
"['litecoin', 'litecoinfam', 'sundayfunday', 'sundayvibes']",litecoin,en,2021-09-26 18:14:36 UTC,'Litecoin Is an Interesting Crypto With a Huge Upside' #Litecoin $LTC #LitecoinFAM #SundayFunday #sundayvibes $BTC   https://t.co/aPd4N5c8jF,140,"['ltc', 'btc']",1442190885219827725,75,Litecoin,726
"['lasvegas', 'nascar', 'paywithlitecoin', 'litecoin10', 'litecoin', 'litecoinfam']",litecoin,en,2021-09-25 15:41:15 UTC,"Litecoin to XFINITY!! Today @landoncassill will earn his pay in $LTC for the 'Alsco Uniforms 302' at #LasVegas Motor Speedway!! LIVE on NBCSN Saturday, Sept. 25 7:30p ET #NASCAR #PaywithLitecoin #Litecoin10 #Litecoin #LitecoinFAM  https://t.co/4E3rwWa6kA",87,['ltc'],1441789907450531843,49,Litecoin,438
"['litecoin', 'flashbackfriday', 'crypto']",litecoin,en,2021-09-24 14:46:19 UTC,Litecoin is still up and running. Always has been. Embrace the China FUD.. again.   $LTC will be here when you're done.   #Litecoin #FlashbackFriday #Crypto,116,['ltc'],1441413693640609797,76,Litecoin,636
"['litecoin', 'paywithlitecoin', 'litecoin10', 'litecoinfam']",litecoin,en,2021-09-22 15:40:50 UTC,"Roll out of the new @Paypal 'Super App' has begun!  Allowing users to buy, hold and sell #Litecoin! Empowering more than 400 million consumers and merchants in more than 200 markets with a fleet of features! #PaywithLitecoin #Litecoin10 #LitecoinFAM",158,[],1440702638933250055,48,Litecoin,714
"['litecoin', 'ibkr', 'crypto', 'big4cryptos', 'litecoinfam', 'litecoin10', 'bitcoin', 'ethereum']",litecoin,en,2021-09-19 17:27:24 UTC,The Chairman of Interactive Brokers announcing #Litecoin and Big4crypto trading on @IBKR because of client demand!  VIDEO:  https://t.co/4lncklZeDd  #IBKR #Crypto #Big4Cryptos #LitecoinFAM #Litecoin10 #Bitcoin #Ethereum,115,[],1439642291065561098,63,Litecoin,487
"['bristol', 'nascar', 'paywithlitecoin', 'litecoin10', 'litecoin', 'litecoinfam']",litecoin,en,2021-09-17 18:55:16 UTC,"Litecoin to XFINITY!! Today @landoncassill will earn his pay in $LTC for the 'Food City 300' at #Bristol Motor Speedway!! LIVE on NBCSN Friday, Sept. 17 7:30p ET #NASCAR #PaywithLitecoin #Litecoin10 #Litecoin #LitecoinFAM  https://t.co/blgDgFJG5g",109,['ltc'],1438939629995036675,72,Litecoin,558
"['paywithlitecoin', 'litecoin', 'litecoin10', 'tuesdaymotivations']",litecoin,en,2021-09-14 15:13:50 UTC,Attention shoppers! ICYMI: You can #PaywithLitecoin at 10s of millions merchants WORLDWIDE with the Litecoin Visa Card and it sync's with Apple and Google and Samsung Pay!    https://t.co/7SYGI4H9Gx #Litecoin #Litecoin10 #tuesdaymotivations $LTC,293,['ltc'],1437796739574947843,251,Litecoin,1164
"['litecoin', 'crytpo', 'flywithlitecoin', 'paywithlitecoin', 'litecoin10', 'liteconfam']",litecoin,en,2021-09-11 16:51:32 UTC,Wanna get away? Global airline network UATP partner with @BitPay reaching millions of new #Litecoin #crytpo customers globally! #FlywithLitecoin #PaywithLitecoin #Litecoin10 #LiteconFAM,73,[],1436734164527575046,236,Litecoin,299
"['fridaymorning', 'litecoin', 'litecoin10', 'litecoinetf']",litecoin,en,2021-09-10 15:34:26 UTC,Grayscale's Litecoin Trust ($LTCN) is now a SEC reporting company. This paves the way toward a Litecoin ETF that would be available to retail investors! Forbes with #fridaymorning exclusive:   https://t.co/6XrxiM3Lgy  #Litecoin #Litecoin10 #LitecoinETF $LTC  https://t.co/A4zH55AWqI,260,['ltc'],1436352373169934336,70,Litecoin,969
"['litecoin', 'litecoin10', 'ltc']",litecoin,en,2021-09-09 17:15:22 UTC,"Bitwise in San Francisco, just announced the world’s first 'Bitwise 10 ex Bitcoin Crypto Index Fund' The Fund holds nine cryptocurrencies including Litecoin that make up a $1+ billion flagship fund!  🚀🚀🚀 https://t.co/WeDz4kdEOj #Litecoin #Litecoin10 #LTC  https://t.co/q8JoOUqCJc",79,[],1436015383983497232,34,Litecoin,315
"['fairlaunch', 'litecoin', 'regulation', 'bitcoin', 'not']",litecoin,en,2021-09-09 15:41:25 UTC,The Chairman of the SEC on whether Litecoin is a Security..   #FairLaunch #Litecoin #Regulation #Bitcoin $LTC #NOT,173,['ltc'],1435991743720165378,49,Litecoin,667
"['omnilite', 'litecoin', 'litecoinfam', 'litecoin10']",litecoin,en,2021-09-07 16:02:25 UTC,#OmniLite is Here!!    https://t.co/mar9mFeZip  #Litecoin #LitecoinFAM $LTC #Litecoin10,146,['ltc'],1435272253260931076,36,Litecoin,564
[],litecoin,en,2021-09-06 21:25:35 UTC,@Clown2021 @Duder83 @erfanccit @ShowCrypto @SatoshiLite FYI: Litecoin only had 50 premined coins. That’s just above $11k.,1,[],1434991189892141057,0,Litecoin,3
[],litecoin,en,2021-09-06 21:23:39 UTC,@krakenfx When Litecoin as margin collateral?,12,[],1434990702916734984,2,Litecoin,107
[],litecoin,en,2021-09-05 18:23:31 UTC,@ofnumbers Much of the tech used by Grin has been evolved and adopted into creating MWEB (MimbleWimble via Extension Blocks) for Litecoin.   MWEB is launching later this year.,10,[],1434582983529349120,0,Litecoin,57
[],litecoin,en,2021-09-05 18:10:05 UTC,@intocryptoverse lol. no.,31,[],1434579604958814214,34,Litecoin,726
"['darlington', 'paywithlitecoin', 'litecoin10', 'litecoin', 'litecoinfam']",litecoin,en,2021-09-04 17:07:55 UTC,Litecoin to XFINITY!! Today @Landoncassill will earn his pay in $LTC at the 'Sport Clips Haircuts VFW Help A Hero 200' at #Darlington Raceway!! LIVE on NBCSN 3:30pm EST Sept 4th NASCAR #PaywithLitecoin #Litecoin10 #Litecoin #LitecoinFAM  https://t.co/Sx2XZgWZE5,72,['ltc'],1434201569528926209,37,Litecoin,326
[],litecoin,en,2021-09-04 12:02:50 UTC,@krakenfx 1. Litecoin 2. Litecoin 3. Litecoin,56,[],1434124796439273478,76,Litecoin,759
"['mweb', 'taproot', 'crypto', 'litecoin']",litecoin,en,2021-09-03 04:49:33 UTC,Litecoin #MWEB August Update! #Taproot #crypto #Litecoin is the Future.,81,[],1433653366303850503,37,Litecoin,367
"['litecoin', 'paywithlitecoin']",litecoin,en,2021-09-02 15:59:45 UTC,If you get a parking ticket in Belgium you can now pay for it in #Litecoin with the Seety app!   #PaywithLitecoin    https://t.co/pNXowwbf6O,54,[],1433459641946542080,21,Litecoin,261
[],litecoin,en,2021-09-02 09:41:47 UTC,Vast Bank is the first federally chartered bank (US) to offer buy/sell and custody of Litecoin and other cryptos. Which bank is next?   https://t.co/qNlZy3tBy0,125,[],1433364522711068673,43,Litecoin,505
"['justkidding', 'seriouslythough', 'neverdown', 'litecoin']",litecoin,en,2021-09-01 17:40:21 UTC,Notice: The Litecoin Network is down for scheduled maintenance. HAHAHAHA #JustKidding #Seriouslythough 10 Years.. #NEVERDOWN #LITECOIN  https://t.co/AR2CqYMFQU,68,[],1433122572103667717,52,Litecoin,423
