['ethereum'],53,2021-11-30 22:26:49 UTC,"JUST IN: 1,069,331.63 #Ethereum ($4.98B) have now been burned since the EIP-1559 upgrade! 🔥",en,1465809568345346048,watcherguru,Watcher.Guru,[],56,522
['eth'],45,2021-11-30 16:39:13 UTC,Top 1000 #ETH Whales Own 48 Trillion Shiba Inu Coins Worth $2.3 Billion   https://t.co/WQZrhRIUZ2,en,1465722091353870343,watcherguru,Watcher.Guru,[],219,896
"['bitcoin', 'ethereum']",119,2021-11-30 14:56:19 UTC,JUST IN: #Bitcoin and #Ethereum ETFs with monthly payouts launch in Canada 🇨🇦,en,1465696195725070367,watcherguru,Watcher.Guru,[],105,745
['eth'],55,2021-11-30 14:33:42 UTC,JUST IN: #ETH has passed $25B in trading volume in the last 24 hours,en,1465690505908531200,watcherguru,Watcher.Guru,[],82,641
"['cryptocurrencies', 'bitcoin', 'ethereum', 'bnb', 'usdtether', 'sol', 'ada', 'xrp', 'dot', 'usdc', 'doge', 'shib', 'avax', 'luna', 'cro', 'wbtc']",716,2021-11-30 06:43:24 UTC,Top 15 #cryptocurrencies in the world by market capitalization (Updated 11/30/21)   1. #Bitcoin    2. #Ethereum  3. #BNB     4. #Usdtether     5. #SOL 6. #ADA 7. #XRP  8. #DOT 9. #USDC  10. #DOGE  11. #SHIB 12. #AVAX 13. #LUNA 14. #CRO 15. #WBTC,en,1465572153101799437,watcherguru,Watcher.Guru,[],317,1474
"['eth', 'ethereum']",66,2021-11-30 04:04:26 UTC,"One year ago today, one #ETH was worth $591 USD.   Today, One #Ethereum is worth $4,436 USD.",en,1465532145452175364,watcherguru,Watcher.Guru,[],99,777
"['ethereum', 'shib']",220,2021-11-30 02:25:37 UTC,"JUST IN: An #Ethereum whale purchased $1,101,959.44 worth of #SHIB today. 🐳   TXID:  https://t.co/PNWFfk7hkJ  https://t.co/g15mQMIcor",en,1465507276987543558,watcherguru,Watcher.Guru,[],819,2873
"['cryptocurrencies', 'bnb', 'bitcoin', 'dogecoin', 'xrp', 'shib', 'ethereum', 'cro', 'safemoon', 'cardano', 'solana']",114,2021-11-30 00:37:30 UTC,Top 10 #cryptocurrencies in the world by Twitter followers (Updated 11/29/21)   1: #BNB 6.3M 2: #Bitcoin 3.8M 3: #Dogecoin 2.5M 4: #XRP 2.2M 5: #SHIB 2.1M 6: #Ethereum 1.8M  7. #CRO 1.3M 8: #SafeMoon 1.2M 9: #Cardano 1.1M 10: #Solana 1M,en,1465480069900652554,watcherguru,Watcher.Guru,[],194,995
[],414,2021-11-29 20:20:52 UTC,"All eyes on @EverRise today as they prepare to launch their v2 contract on BSC, ETH, and Polygon!   Their v1 migration has gone seamlessly over the past week:  87% of v1.0 tokens upgrades  31% of the entire v2 supply staked  6:00PM EST  https://t.co/STvXhIixhq  https://t.co/cziIijKCOw",en,1465415484833087490,watcherguru,Watcher.Guru,[],407,970
"['btc', 'shib', 'eth', 'cake', 'doge', 'sol', 'safemoon', 'xtz', 'ada', 'cate']",300,2021-11-29 19:56:50 UTC,"Top 10 Cryptocurrencies Mentioned on Twitter in November 📣  1. #BTC 10,710,315 2. #SHIB 4,024,575 3. #ETH 2,747,488 4. #CAKE 1,862,156 5. #DOGE 1,760,398 6. #SOL 1,318,662 7. #SAFEMOON 1,062,273  8. #XTZ 980,792 9. #ADA 899,510 10. #CATE 699,840  (via @CryptoRank_io)",en,1465409437066272771,watcherguru,Watcher.Guru,[],411,1626
['ethereum'],86,2021-11-29 19:11:04 UTC,JUST IN: Kelly has filed for an #Ethereum Futures ETF.  https://t.co/JqJ5DuZ3zf,en,1465397919725588484,watcherguru,Watcher.Guru,[],57,390
[],873,2021-11-29 14:09:59 UTC,Most Mentioned Cryptocurrencies on Twitter (Last 24 Hours)  1. $SHIB 2. $ETH 3. $BTC 4. $SOL 5. $ADA 6. $XRP 7. $DOGE 8. $XTZ 9. $LUNA 10. $AVAX,en,1465322149141434371,watcherguru,Watcher.Guru,"['shib', 'eth', 'btc', 'sol', 'ada', 'xrp', 'doge', 'xtz', 'luna', 'avax']",1160,5073
"['bitcoin', 'ethereum', 'bnb', 'vechain', 'solana', 'xrp', 'cro', 'avax', 'sand', 'mana']",624,2021-11-29 03:10:41 UTC,"You can only hold one crypto for the rest of you life, which one are you choosing? 🤨  • #Bitcoin  • #Ethereum  • #BNB  • #VeChain  • #Solana  • #XRP  • #CRO  • #AVAX  • #SAND  • #MANA",en,1465156232529039363,watcherguru,Watcher.Guru,[],77,685
"['cryptocurrencies', 'bitcoin', 'ethereum', 'bnb', 'usdtether', 'sol', 'ada', 'xrp', 'dot', 'usdc', 'doge', 'avax', 'shib', 'cro', 'luna', 'wbtc']",202,2021-11-28 22:51:38 UTC,Top 15 #cryptocurrencies in the world by market capitalization (Updated 11/28/21)   1. #Bitcoin   2. #Ethereum  3. #BNB    4. #Usdtether    5. #SOL 6. #ADA 7. #XRP  8. #DOT 9. #USDC  10. #DOGE  11. #AVAX  12. #SHIB 13. #CRO    14. #LUNA  15. #WBTC,en,1465091040717815815,watcherguru,Watcher.Guru,[],112,644
