likes_count,retweets_count,replies_count,id,language,hashtags,name,created_at,tweet,cashtags,username
99,38,203,1458415411783942146,en,"['gains', 'gateio', 'liquiditymining', 'mining']",Gate.io,2021-11-10 12:45:04 UTC, https://t.co/8kWqgEeplL Liquidity Mining Pools Now Support  $ETH / $USDT $DOT / $USDT  $FIL / $USDT   Experience HUGE #gains Now  Add liquidity:  https://t.co/Xpb6RJOIN5 Details:  https://t.co/M7gLsyophf  #Gateio #liquiditymining #mining  https://t.co/y9TYifiT5m,"['eth', 'usdt', 'dot', 'usdt', 'fil', 'usdt']",gate_io
77,13,65,1458381453260099590,en,"['dot', 'gateio', 'crypto', 'hodl']",Gate.io,2021-11-10 10:30:08 UTC,🔥 https://t.co/8kWqgEeplL $DOT Slot Auctions @bifrost_finance  🔏Lock #DOT to Earn $BNC  ➡️Participate:  https://t.co/VKe1r4k3Ci  #Gateio #Crypto #HODL  https://t.co/npNt3giQUy,"['dot', 'bnc']",gate_io
81,19,43,1458370551945302018,en,"['gateio', 'dot', 'polkadot', 'defi']",Gate.io,2021-11-10 09:46:49 UTC,"🔊 https://t.co/8kWqgEeplL $DOT Slot Auction!  😋The First Round Will Start Soon!  🕑November 11th -November 18th  🤑First Come, First Served!   🔒Lock &amp; Support Your Project:  https://t.co/sNp0x9X88A  #Gateio #DOT #Polkadot #DeFi  https://t.co/HjnYNzNtsJ",['dot'],gate_io
127,41,97,1458287067713216517,en,"['dot', 'gateio', 'polkadot', 'blockchain']",Gate.io,2021-11-10 04:15:05 UTC,⭐  https://t.co/8kWqgEeplL Support $DOT Slot Auctions: @DarwiniaNetwork ⭐     🔒 Lock #DOT &amp; Earn $RING   Participate:  https://t.co/yIvkmVk3oU  #Gateio #Polkadot #Blockchain  https://t.co/H2OuxQBQWC,"['dot', 'ring']",gate_io
80,18,54,1458263888227622914,en,"['dot', 'gateio', 'crypto', 'hodlers']",Gate.io,2021-11-10 02:42:58 UTC,🔥  https://t.co/8kWqgEeplL Supports $DOT Slot Auctions: @centrifuge 🔥   🔒 Lock #DOT to Earn $CFG  Participate:  https://t.co/olyZsceNdV  #Gateio #Crypto #HODLERS  https://t.co/qPFUDm0P4y,"['dot', 'cfg']",gate_io
80,20,69,1458068128940937218,en,"['polkadot', 'rmrk', 'polkadot', 'crypto', 'dot']",Gate.io,2021-11-09 13:45:06 UTC,⭐️Top #Polkadot Tokens On  https://t.co/8kWqgEeplL⭐️  #RMRK (+30.68%) Is Shooting To The Moon🚀  Which #Polkadot #crypto do you have your eye on today?😏  ➡️Trade $RMRK:  https://t.co/OtysmIW70v ➡️Learn More About #DOT:  https://t.co/brepnGBW6t  https://t.co/fFJrpWDAki,['rmrk'],gate_io
93,34,130,1458041795624017929,en,"['metaverse', 'polkadot', 'gateio', 'parachains']",Gate.io,2021-11-09 12:00:27 UTC,The #Metaverse was first popularized by Ready Player One. Its potential is mind-blowing!   @X_Protocol_ is a Metaverse + dApp portal that supports interoperability and is developed with Substrate's framework by #PolkaDot   Listen:  https://t.co/uDNHU4KBgk   #Gateio #parachains  https://t.co/zVAFllpmcA,[],gate_io
66,19,46,1458034541659103235,en,"['dot', 'gateio', 'dot', 'polkadot', 'defi']",Gate.io,2021-11-09 11:31:38 UTC, https://t.co/8kWqgEeplL $DOT Slot Auctions @EquilibriumDeFi     🔒Lock #DOT &amp; Earn $EQ   Participate:  https://t.co/sJ6geTA6z2  #Gateio #DOT #Polkadot #DeFi  https://t.co/y9AqpwqpQ2,"['dot', 'eq']",gate_io
102,20,75,1457985078517280768,en,"['dot', 'gateio', 'crypto', 'hodl']",Gate.io,2021-11-09 08:15:05 UTC,🔥 https://t.co/8kWqgEeplL $DOT Slot Auctions @AstarNetwork🔥   👉Lock #DOT to Earn $ASTR  ➡️Participate:  https://t.co/Qmxwz86Cdb  #Gateio #Crypto #HODL  https://t.co/Y8PScqrbnv,"['dot', 'astr']",gate_io
65,13,60,1457977529260773378,en,"['ksm', 'gateio', 'kusama', 'dot']",Gate.io,2021-11-09 07:45:05 UTC,🔥  https://t.co/8kWqgEeplL Supports #KSM Slot Auction 🔥  The 14th Auction is still ongoing!  ⌚️ November 8th - November 15th  Participate Now:  https://t.co/7m49nbx4gh  #Gateio #kusama #DOT  https://t.co/TUNqdgcniC,[],gate_io
85,25,27,1457915893825130500,en,"['dot', 'gateio', 'crypto', 'hodl']",Gate.io,2021-11-09 03:40:10 UTC,🌊  https://t.co/8kWqgEeplL Supports $DOT Slot Auctions: @MantaNetwork 🌊    🔒 Lock #DOT to Earn $MANTA  Participate:  https://t.co/fjh4yUE8K1  #Gateio #Crypto #HODL  https://t.co/vzrXSJRbJZ,"['dot', 'manta']",gate_io
134,25,80,1457907526801006601,en,"['dot', 'gateio', 'earncrypto', 'parachain']",Gate.io,2021-11-09 03:06:55 UTC,📢  https://t.co/8kWqgEeplL Supports $DOT Slot Auctions: @MoonbeamNetwork 📢     🔒 Lock #DOT &amp; Earn $GLMR   Participate 👉  https://t.co/kYVDzj8uaF  #Gateio #EarnCrypto #parachain  https://t.co/inGZAh0oJi,"['dot', 'glmr']",gate_io
85,20,69,1457899475440218115,en,"['dot', 'gateio', 'hodler', 'defi']",Gate.io,2021-11-09 02:34:56 UTC,💠  https://t.co/8kWqgEeplL Supports $DOT Slot Auctions: @AcalaNetwork 💠     🔒 Lock #DOT &amp; Earn $ACA   Participate:  https://t.co/VDYbJg2ovF  #Gateio #HODLER #DeFi  https://t.co/Edn5grmdsU,"['dot', 'aca']",gate_io
