created_at,id,hashtags,likes_count,name,cashtags,language,tweet,username,retweets_count,replies_count
2021-10-14 13:37:00 UTC,1448644006284435463,[],1636,Altcoin Daily,['dot'],en,Polkadot $DOT is the 8th most valuable crypto by market cap. 🐦,altcoindailyio,101,115
2021-10-14 01:02:18 UTC,1448454078967603200,"['crypto', 'bitcoin']",193,Altcoin Daily,"['dot', 'egld', 'flow', 'xrp', 'vgx', 'fear']",en,"WHAT'S HAPPENING WITH #CRYPTO?  LET'S DISCUSS: -- USA #BITCOIN MINING -- $DOT PARACHAINS -- $EGLD, $FLOW, $XRP -- $VGX, $FEAR &amp; MORE!  WATCH 👇 &gt;&gt;  https://t.co/wswp7TfYDj  https://t.co/1IZnnudGtq",altcoindailyio,21,43
2021-10-13 16:59:31 UTC,1448332582706290691,['polkadot'],2981,Altcoin Daily,[],en,JUST IN: #Polkadot sets Nov 11th date for parachain auctions! 🚀,altcoindailyio,385,171
2021-10-12 17:18:40 UTC,1447975015106813954,[],2367,Altcoin Daily,"['ada', 'dot']",en,The way people feel about $ADA is the way I feel about $DOT.,altcoindailyio,124,255
2021-10-12 01:38:44 UTC,1447738472970653698,['polkadot'],260,Altcoin Daily,['dot'],en,How much #Polkadot $DOT do you need to become wealthy?!  WATCH 👇 &gt;&gt;  https://t.co/nG6SwfjKFf  https://t.co/q8ReSwb5t3,altcoindailyio,18,47
2021-10-12 01:27:44 UTC,1447735706034458630,[],1240,Altcoin Daily,['dot'],en,Smash the ❤️ if you want a surprising $DOT video!!,altcoindailyio,32,113
2021-10-11 14:45:00 UTC,1447573956077277186,['crypto'],1791,Altcoin Daily,"['egld', 'sol', 'avax', 'eth', 'dot', 'ada']",en,"Which #crypto dapp platform has the most potential from here?  $EGLD, $SOL, $AVAX, $ETH, $DOT, or $ADA?  👇👇",altcoindailyio,195,1437
2021-10-09 22:58:44 UTC,1446973432768327684,"['youtube', 'crypto']",240,Altcoin Daily,"['btc', 'eth', 'ada', 'bnb', 'sol', 'avax', 'vet', 'dot', 'doge']",en,Follow us on #YouTube for DAILY #crypto news &amp; opinion videos!  $BTC $ETH $ADA $BNB $SOL $AVAX $VET $DOT $DOGE  👇👇  https://t.co/qcWSjizdQw,altcoindailyio,27,69
2021-10-07 14:07:00 UTC,1446114840955682824,[],1841,Altcoin Daily,"['eth', 'dot', 'ada']",en,"🔔 Consider staking your $ETH, $DOT, $ADA, if you think of it as a long term hold. ✨",altcoindailyio,102,313
2021-10-05 15:16:00 UTC,1445407429827645452,['crypto'],144,Altcoin Daily,"['eth', 'matic', 'dot', 'sol', 'axax']",en,What Is The Best Multi-Chain DeFi Derivatives Exchange In The #Crypto Industry? 🤔  $ETH $MATIC $DOT $SOL $AXAX  Keep Our Sponsor @oddz_finance On Your Radar!  Watch Now 👇 &gt;&gt;  https://t.co/Z4wqIPHz5s  https://t.co/PL7xFhtHVt,altcoindailyio,20,48
2021-10-05 06:45:19 UTC,1445278913962254336,[],2756,Altcoin Daily,"['dot', 'ada']",en,People seem more bullish on $DOT than $ADA at this point. 🤔,altcoindailyio,176,431
2021-10-05 06:13:43 UTC,1445270959036919809,[],4181,Altcoin Daily,['dot'],en,❤️ if you're bullish on Polkadot $DOT,altcoindailyio,142,202
2021-09-29 07:24:39 UTC,1443114483866501123,['polkadot'],759,Altcoin Daily,[],en,1 #Polkadot club 🙋‍♂️,altcoindailyio,34,71
2021-09-20 02:58:00 UTC,1439785887726911490,[],824,Altcoin Daily,"['egld', 'dot']",en,So happy I accumulated $EGLD last year and $DOT earlier this year.,altcoindailyio,61,97
2021-09-19 22:22:15 UTC,1439716496033210369,"['bitcoin', 'crypto']",300,Altcoin Daily,"['btc', 'mina', 'avax', 'dot', 'sol', 'egld']",en,#Bitcoin &amp; #crypto is about to get INSANE!!! 🚀🚀🚀  $BTC $MINA $AVAX $DOT $SOL $EGLD  HERE IS WHY 👇 &gt;&gt;&gt;  https://t.co/CXruB2qgKX  https://t.co/igtsWOs9XZ,altcoindailyio,32,68
2021-09-15 23:29:34 UTC,1438283882370007040,"['cryptocurrency', 'bitcoin', 'ethereum', 'polkadot', 'elrond', 'solana']",318,Altcoin Daily,[],en,"#CRYPTOCURRENCY is ABOUT TO EXPLODE!!! 📈📈📈  #Bitcoin &amp; #Ethereum SUPPLY SHOCK is REAL!  #Polkadot, #Elrond, #Solana News!  GOOD VIDEO 👇 &gt;&gt;  https://t.co/HJ1EIBomDR  https://t.co/G8nGJYubXb",altcoindailyio,38,36
2021-09-06 22:50:44 UTC,1435012618113064962,['crypto'],335,Altcoin Daily,"['sol', 'ada', 'eth', 'avax', 'dot', 'xrp', 'btc', 'egld', 'link']",en,"HUGE GAINS IN #CRYPTO HAPPENING NOW!!!  $SOL, $ADA, $ETH, $AVAX, $DOT, $XRP, $BTC, $EGLD,  $LINK!  GOOD VIDEO👇 &gt;&gt;  https://t.co/wNDrKSdJsJ  https://t.co/3C97xMC3Ks",altcoindailyio,35,59
2021-09-02 22:19:12 UTC,1433555134005481480,[],1496,Altcoin Daily,"['eth', 'ada', 'dot', 'egld', 'avax', 'sol']",en,"Some people in crypto are only now looking into $ETH, $ADA, $DOT, $EGLD, $AVAX &amp; $SOL...  Our audience has known about these coins for YEARS! 🥳",altcoindailyio,100,213
2021-09-02 22:06:18 UTC,1433551888163631124,['crypto'],206,Altcoin Daily,"['btc', 'eth', 'ada', 'vet', 'dot', 'matic', 'sol', 'cream']",en,"MASSIVE NEWS TODAY #CRYPTO HOLDERS! 🚨🚨🚨  Let's talk 👇👇👇 $BTC, $ETH, $ADA, $VET $DOT, $MATIC, $SOL, $CREAM  GREAT VIDEO👇 &gt;&gt;  https://t.co/tA6E3SMoC7  https://t.co/2DURjOR7Ng",altcoindailyio,22,24
