,datetime,asset,price_usd,marketcap_usd,circulation
59,2021-10-30 00:00:00+00:00,BTC,61888.831219032596,1167178054167.0,18980640.072500907
60,2021-10-31 00:00:00+00:00,BTC,61318.957766605985,1156485845063.0,18981509.186055716
61,2021-11-01 00:00:00+00:00,BTC,61004.40802134929,1150606762880.0,18982438.410436466
62,2021-11-02 00:00:00+00:00,BTC,63226.40109708796,1192577136210.0,18983431.980209537
63,2021-11-03 00:00:00+00:00,BTC,62970.047426018544,1187808286560.0,18984465.733541626
64,2021-11-04 00:00:00+00:00,BTC,61452.2305873208,1159231375022.0,18985359.528159488
65,2021-11-05 00:00:00+00:00,BTC,61125.67426890355,1153128571128.0,18986334.565176588
66,2021-11-06 00:00:00+00:00,BTC,61527.481793398685,1160769349887.0,18987306.63290848
67,2021-11-07 00:00:00+00:00,BTC,63326.98902809924,1194778776481.0,18988264.14319371
68,2021-11-08 00:00:00+00:00,BTC,67566.8300878775,1274831490851.0,18989113.16523016
69,2021-11-09 00:00:00+00:00,BTC,66971.82809746113,1263667113597.0,18990065.65039163
70,2021-11-10 00:00:00+00:00,BTC,64995.22939074326,1226431510693.0,18991000.78637591
71,2021-11-11 00:00:00+00:00,BTC,64949.96191476004,1225643127560.0,18991993.391179632
72,2021-11-12 00:00:00+00:00,BTC,64155.94183643273,1210715199478.0,18992886.254198533
73,2021-11-13 00:00:00+00:00,BTC,64513.12433579376,1217517874794.0,18993842.863903992
74,2021-11-14 00:00:00+00:00,BTC,65466.8410240344,1235578996842.0,18994824.289068904
75,2021-11-15 00:00:00+00:00,BTC,63557.87151837094,1199611097094.0,18995768.421801683
76,2021-11-16 00:00:00+00:00,BTC,60161.2470371667,1135559300073.0,18996706.82432276
77,2021-11-17 00:00:00+00:00,BTC,60368.011816764934,1139519389072.0,18997639.026833784
78,2021-11-18 00:00:00+00:00,BTC,56942.136244057234,1074900976539.0,18998540.541540153
79,2021-11-19 00:00:00+00:00,BTC,58119.57619379246,1097177697853.0,18999397.774761714
80,2021-11-20 00:00:00+00:00,BTC,59697.19713425886,1127014430118.0,19000304.478348542
81,2021-11-21 00:00:00+00:00,BTC,58730.47663865068,1108812311533.0,19001153.811470304
82,2021-11-22 00:00:00+00:00,BTC,56289.287322638556,1062772703759.0,19002036.737465885
83,2021-11-23 00:00:00+00:00,BTC,57569.07487572713,1086985075773.0,19002862.462698575
84,2021-11-24 00:00:00+00:00,BTC,57206.36708198955,1080190645471.0,19003843.821466424
85,2021-11-25 00:00:00+00:00,BTC,58927.890687830026,1112745672239.0,19004656.529091552
86,2021-11-26 00:00:00+00:00,BTC,53569.76396309677,1011613083342.0,19005481.599162243
87,2021-11-27 00:00:00+00:00,BTC,54815.07930492795,1035176249679.0,19006375.536408894
88,2021-11-28 00:00:00+00:00,BTC,57248.45837582401,1081180416262.0,19007244.609356493
89,2021-11-29 00:00:00+00:00,BTC,57806.56621525592,1091773828974.0,19008138.532245506
90,2021-11-30 00:00:00+00:00,BTC,57005.42547359979,1076689232562.0,19008976.751429457
91,2021-12-01 00:00:00+00:00,BTC,57229.82989944917,1080977744339.0,19009833.361446977
92,2021-09-01 00:00:00+00:00,ETH,3834.8280054911584,450017458312.0,117588979.5743673
93,2021-09-02 00:00:00+00:00,ETH,3790.9900876090906,444924932307.0,117602603.87487692
